Object_Type,Record_Id,Record_Name,Account_Name,Account_Status,Contract_Status,Currency,Issue_Type,ARR_Base,ARR_USD,ACV_Base,ACV_USD,TCV_Base,TCV_USD,MRR_Base,MRR_USD,Incremental_ARR_Base,Incremental_ARR_USD,Last_Modified,Priority
Contract,800fJ000007eMmPQAU,00000510,AbbVie,Active,Expired,USD,USD_Fields_Zero_For_Expired_Contract,57450,$0.00,57450,$0.00,57450,"$57,450.00",4787.5,$0.00,,2025-06-30,HIGH
Contract,800fJ000007eNCLQA2,00000651,"Adela, Inc.",Active,Expired,USD_Fields_Zero_For_Expired_Contract,USD,55150,$0.00,55150,$0.00,55150,"$55,150.00",4595.83,$0.00,150.00",HIGH
Contract,800fJ000007eMm7QAE,00000492,Almirall,Active,Expired,EUR,USD_Fields_Zero_For_Expired_Contract,38260,$0.00,38260,$0.00,38260,"$41,509.04",3188.33,$0.00,-28900,2025-06-17,HIGH
Contract,800fJ000007eNCJQA2,00000649,Altos Labs Inc,Active,Expired,USD,USD_Fields_Zero_For_Expired_Contract,168800,$0.00,168800,$0.00,84400,"$84,400.00",14066.67,$0.00,-168800,2024-07-03,HIGH
Contract,800fJ000007eNCIQA2,00000648,Ambry Genetics,Active,Expired,USD,USD_Fields_Zero_For_Expired_Contract,40000,$0.00,40000,$0.00,40000,"$40,000.00",3333.33,$0.00,-40000,2024-06-30,HIGH
Contract,800fJ000007eMlnQAE,00000472,Arbor Biotechnologies,Active,Expired,USD,USD_Fields_Zero_For_Expired_Contract,15000,$0.00,15000,$0.00,0,$0.00,1250,$0.00,-15000,"$-15,2025-05-25,HIGH
Contract,800fJ000007eLC8QAM,00000565,BioMerieux,Active,Expired,EUR,USD_Fields_Zero_For_Expired_Contract,49665,$0.00,49665,$0.00,49665,"$53,882.55",4138.75,$0.00,-47300,2025-06-27,HIGH
Contract,800fJ000007eLC5QAM,00000562,Biomodal,Active,Expired,EUR,USD_Fields_Zero_For_Expired_Contract,113820,$0.00,113820,$0.00,113820,"$123,485.59",9485,$0.00,-87120,2025-06-13,HIGH
Contract,800fJ000007eLC3QAM,00000560,BioSkryb Genomics,Active,Expired,USD,USD_Fields_Zero_For_Expired_Contract,51550,$0.00,51550,$0.00,51550,"$51,550.00",4295.83,$0.00,19100,2024-07-29,HIGH
Contract,800fJ000007eNLVQA2,00000674,Boehringer Ingelheim GmbH,Active,Expired,EUR,USD_Fields_Zero_For_Expired_Contract,146900,$0.00,146900,$0.00,146900,"$158,021.80",12241.67,$0.00,108400,2025-07-25,HIGH
